** CONVERTED FROM SR2.edf using edfapi 3.1 Win32 Jul  4 2014 on Fri May 10 12:36:57 2024
** DATE: Fri May 10 12:43:14 2024
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.48 Nov 25 2009
** CAMERA: EyeLink CL-OL HEAD Version 1.0 Sensor=BJC
** SERIAL NUMBER: CLO-ZAA25
** CAMERA_CONFIG: ZAA25140.SCD
**

MSG	4890833 Scan start
MSG	4890839 RECCFG CR 250 2 2 R
MSG	4890839 ELCLCFG MLRR
MSG	4890839 GAZE_COORDS 0.00 0.00 1024.00 768.00
MSG	4890839 THRESHOLDS R 56 172
MSG	4890839 ELCL_PROC ELLIPSE  (5)
MSG	4890839 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	4890840 !MODE RECORD CR 250 2 2 R
START	4890846 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	HREF	RIGHT	RATE	 250.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 250.00	TRACKING	CR	FILTER	2
INPUT	4890846	255
SFIX R   4890846
4892090	  510.9	  382.9	 1000.0	...
4892094	  510.9	  382.9	 1000.0	...
4892098	  510.9	  382.9	 1000.0	...
4892102	  510.9	  382.9	 1000.0	...
4892106	  510.9	  382.9	 1000.0	...
4892110	  510.9	  382.9	 1000.0	...
4892114	  510.9	  382.9	 1000.0	...
4892118	  510.9	  382.9	 1000.0	...
4892122	  510.9	  382.9	 1000.0	...
4892126	  510.9	  382.9	 1000.0	...
4892130	  510.9	  382.9	 1000.0	...
4892134	  510.9	  382.9	 1000.0	...
4892138	  510.9	  382.9	 1000.0	...
4892142	  510.9	  382.9	 1000.0	...
4892146	  510.9	  382.9	 1000.0	...
4892150	  510.9	  382.9	 1000.0	...
4892154	  510.9	  382.9	 1000.0	...
4892158	  510.9	  382.9	 1000.0	...
4892162	  510.9	  382.9	 1000.0	...
4892166	  510.9	  382.9	 1000.0	...
4892170	  510.9	  382.9	 1000.0	...
4892174	  510.9	  382.9	 1000.0	...
4892178	  510.9	  382.9	 1000.0	...
4892182	  510.9	  382.9	 1000.0	...
4892186	  510.9	  382.9	 1000.0	...
4892190	  510.9	  382.9	 1000.0	...
4892194	  510.9	  382.9	 1000.0	...
4892198	  510.9	  382.9	 1000.0	...
4892202	  510.9	  382.9	 1000.0	...
4892206	  510.9	  382.9	 1000.0	...
4892210	  510.9	  382.9	 1000.0	...
4892214	  510.9	  382.9	 1000.0	...
4892218	  510.9	  382.9	 1000.0	...
4892222	  510.9	  382.9	 1000.0	...
4892226	  510.9	  382.9	 1000.0	...
4892230	  510.9	  382.9	 1000.0	...
4892234	  510.9	  382.9	 1000.0	...
4892238	  510.9	  382.9	 1000.0	...
4892242	  510.9	  382.9	 1000.0	...
4892246	  510.9	  382.9	 1000.0	...
4892250	  510.9	  382.9	 1000.0	...
4892254	  510.9	  382.9	 1000.0	...
4892258	  510.9	  382.9	 1000.0	...
4892262	  510.9	  382.9	 1000.0	...
4892266	  510.9	  382.9	 1000.0	...
4892270	  510.9	  382.9	 1000.0	...
4892274	  510.9	  382.9	 1000.0	...
4892278	  510.9	  382.9	 1000.0	...
4892282	  510.9	  382.9	 1000.0	...
4892286	  510.9	  382.9	 1000.0	...
4892290	  510.9	  382.9	 1000.0	...
4892294	  510.9	  382.9	 1000.0	...
4892298	  510.9	  382.9	 1000.0	...
4892302	  510.9	  382.9	 1000.0	...
4892306	  510.9	  382.9	 1000.0	...
4892310	  510.9	  382.9	 1000.0	...
4892314	  510.9	  382.9	 1000.0	...
4892318	  510.9	  382.9	 1000.0	...
4892322	  510.9	  382.9	 1000.0	...
4892326	  510.9	  382.9	 1000.0	...
4892330	  510.9	  382.9	 1000.0	...
4892334	  510.9	  382.9	 1000.0	...
4892338	  510.9	  382.9	 1000.0	...
4892342	  510.9	  382.9	 1000.0	...
4892346	  510.9	  382.9	 1000.0	...
4892350	  510.9	  382.9	 1000.0	...
4892354	  510.9	  382.9	 1000.0	...
4892358	  510.9	  382.9	 1000.0	...
4892362	  510.9	  382.9	 1000.0	...
4892366	  510.9	  382.9	 1000.0	...
4892370	  510.9	  382.9	 1000.0	...
4892374	  510.9	  382.9	 1000.0	...
4892378	  510.9	  382.9	 1000.0	...
4892382	  510.9	  382.9	 1000.0	...
4892386	  510.9	  382.9	 1000.0	...
4892390	  510.9	  382.9	 1000.0	...
4892394	  510.9	  382.9	 1000.0	...
4892398	  510.9	  382.9	 1000.0	...
4892402	  510.9	  382.9	 1000.0	...
4892406	  510.9	  382.9	 1000.0	...
4892410	  510.9	  382.9	 1000.0	...
4892414	  510.9	  382.9	 1000.0	...
4892418	  510.9	  382.9	 1000.0	...
4892422	  510.9	  382.9	 1000.0	...
4892426	  510.9	  382.9	 1000.0	...
4892430	  510.9	  382.9	 1000.0	...
4892434	  510.9	  382.9	 1000.0	...
4892438	  510.9	  382.9	 1000.0	...
4892442	  510.9	  382.9	 1000.0	...
4892446	  510.9	  382.9	 1000.0	...
4892450	  510.9	  382.9	 1000.0	...
4892454	  510.9	  382.9	 1000.0	...
4892458	  510.9	  382.9	 1000.0	...
4892462	  510.9	  382.9	 1000.0	...
4892466	  510.9	  382.9	 1000.0	...
4892470	  510.9	  382.9	 1000.0	...
4892474	  510.9	  382.9	 1000.0	...
4892478	  510.9	  382.9	 1000.0	...
4892482	  510.9	  382.9	 1000.0	...
4892486	  510.9	  382.9	 1000.0	...
4892490	  510.9	  382.9	 1000.0	...
4892494	  510.9	  382.9	 1000.0	...
4892498	  510.9	  382.9	 1000.0	...
4892502	  510.9	  382.9	 1000.0	...
4892506	  510.9	  382.9	 1000.0	...
4892510	  510.9	  382.9	 1000.0	...
4892514	  510.9	  382.9	 1000.0	...
4892518	  510.9	  382.9	 1000.0	...
4892522	  510.9	  382.9	 1000.0	...
4892526	  510.9	  382.9	 1000.0	...
4892530	  510.9	  382.9	 1000.0	...
4892534	  510.9	  382.9	 1000.0	...
4892538	  510.9	  382.9	 1000.0	...
4892542	  510.9	  382.9	 1000.0	...
4892546	  510.9	  382.9	 1000.0	...
4892550	  510.9	  382.9	 1000.0	...
4892554	  510.9	  382.9	 1000.0	...
4892558	  510.9	  382.9	 1000.0	...
4892562	  510.9	  382.9	 1000.0	...
4892566	  510.9	  382.9	 1000.0	...
4892570	  510.9	  382.9	 1000.0	...
4892574	  510.9	  382.9	 1000.0	...
4892578	  510.9	  382.9	 1000.0	...
4892582	  510.9	  382.9	 1000.0	...
4892586	  510.9	  382.9	 1000.0	...
4892590	  510.9	  382.9	 1000.0	...
4892594	  510.9	  382.9	 1000.0	...
4892598	  510.9	  382.9	 1000.0	...
4892602	  510.9	  382.9	 1000.0	...
4892606	  510.9	  382.9	 1000.0	...
4892610	  510.9	  382.9	 1000.0	...
4892614	  510.9	  382.9	 1000.0	...
4892618	  510.9	  382.9	 1000.0	...
4892622	  510.9	  382.9	 1000.0	...
4892626	  510.9	  382.9	 1000.0	...
4892630	  510.9	  382.9	 1000.0	...
4892634	  510.9	  382.9	 1000.0	...
4892638	  510.9	  382.9	 1000.0	...
4892642	  510.9	  382.9	 1000.0	...
4892646	  510.9	  382.9	 1000.0	...
4892650	  510.9	  382.9	 1000.0	...
4892654	  510.9	  382.9	 1000.0	...
4892658	  510.9	  382.9	 1000.0	...
4892662	  510.9	  382.9	 1000.0	...
4892666	  510.9	  382.9	 1000.0	...
4892670	  510.9	  382.9	 1000.0	...
4892674	  510.9	  382.9	 1000.0	...
4892678	  510.9	  382.9	 1000.0	...
4892682	  510.9	  382.9	 1000.0	...
4892686	  510.9	  382.9	 1000.0	...
4892690	  510.9	  382.9	 1000.0	...
4892694	  510.9	  382.9	 1000.0	...
4892698	  510.9	  382.9	 1000.0	...
4892702	  510.9	  382.9	 1000.0	...
4892706	  510.9	  382.9	 1000.0	...
4892710	  510.9	  382.9	 1000.0	...
4892714	  510.9	  382.9	 1000.0	...
4892718	  510.9	  382.9	 1000.0	...
4892722	  510.9	  382.9	 1000.0	...
4892726	  510.9	  382.9	 1000.0	...
4892730	  510.9	  382.9	 1000.0	...
4892734	  510.9	  382.9	 1000.0	...
4892738	  510.9	  382.9	 1000.0	...
4892742	  510.9	  382.9	 1000.0	...
4892746	  510.9	  382.9	 1000.0	...
4892750	  510.9	  382.9	 1000.0	...
4892754	  510.9	  382.9	 1000.0	...
4892758	  510.9	  382.9	 1000.0	...
4892762	  510.9	  382.9	 1000.0	...
4892766	  510.9	  382.9	 1000.0	...
4892770	  510.9	  382.9	 1000.0	...
4892774	  510.9	  382.9	 1000.0	...
4892778	  510.9	  382.9	 1000.0	...
4892782	  510.9	  382.9	 1000.0	...
4892786	  510.9	  382.9	 1000.0	...
4892790	  510.9	  382.9	 1000.0	...
4892794	  510.9	  382.9	 1000.0	...
4892798	  510.9	  382.9	 1000.0	...
4892802	  510.9	  382.9	 1000.0	...
4892806	  510.9	  382.9	 1000.0	...
4892810	  510.9	  382.9	 1000.0	...
4892814	  510.9	  382.9	 1000.0	...
4892818	  510.9	  382.9	 1000.0	...
4892822	  510.9	  382.9	 1000.0	...
4892826	  510.9	  382.9	 1000.0	...
4892830	  510.9	  382.9	 1000.0	...
4892834	  510.9	  382.9	 1000.0	...
4892838	  510.9	  382.9	 1000.0	...
4892842	  510.9	  382.9	 1000.0	...
4892846	  510.9	  382.9	 1000.0	...
4892850	  510.9	  382.9	 1000.0	...
4892854	  510.9	  382.9	 1000.0	...
4892858	  510.9	  382.9	 1000.0	...
4892862	  510.9	  382.9	 1000.0	...
4892866	  510.9	  382.9	 1000.0	...
4892870	  510.9	  382.9	 1000.0	...
4892874	  510.9	  382.9	 1000.0	...
4892878	  510.9	  382.9	 1000.0	...
4892882	  510.9	  382.9	 1000.0	...
4892886	  510.9	  382.9	 1000.0	...
4892890	  510.9	  382.9	 1000.0	...
4892894	  510.9	  382.9	 1000.0	...
4892898	  510.9	  382.9	 1000.0	...
4892902	  510.9	  382.9	 1000.0	...
4892906	  510.9	  382.9	 1000.0	...
4892910	  510.9	  382.9	 1000.0	...
4892914	  510.9	  382.9	 1000.0	...
4892918	  510.9	  382.9	 1000.0	...
4892922	  510.9	  382.9	 1000.0	...
